title,release_year,num_episodes,rating_type,rating_score,cast,short_description
Crash Landing on You,2019–2020,19,imdb,8.7,"Hyun Bin, Son Ye-jin, Seo Ji-hye",The absolute top secret love story of a chaebol heiress who made an emergency landing in North Korea because of a paragliding accident and a North Korean special officer who falls in love with her and who is hiding and protecting her.
Love in the Moonlight,2016,18,imdb,7.8,"Park Bo-gum, Kim Yoo-jung, Kwak Dong-yeon",The unlikely love story between a crown prince and his eunuch.
Six Flying Dragons,2015–2016,50,imdb,8.8,"Yoo Ah-in, Jeon Jin-oh, Lee Ji-hoon","Story of the the foundation of the Joseon Dynasty in Korea and ambition, success and fall of several real and fictional characters."
My Love from Another Star,2013–2014,22,imdb,8.2,"Jun Ji-hyun, Kim Soo-hyun, Park Hae-jin","Do Min-Joon, an alien that came to our planet 400 years ago, will be able to return to his planet in 3 months, but when he meets famous actress Chun Song-Yi, all the centuries he spent distancing himself from humans come to an end."
THE Producers,2015,13,imdb,7.3,"Cha Tae-hyun, Kong Hyo-jin, Kim Soo-hyun",A tireless group of young TV producers and a pop star work around the clock in the entertainment department of a major network.
Another Miss Oh,2016,18,imdb,7.7,"Eric Moon, Seo Hyeon-jin, Ye Ji-won","A romantic television series about two women who not only share the same name Oh Hae Young but they also share a destiny with the same man, Park Do Kyung, who can see the future."
"It's Okay, That's Love",2014,16,imdb,8.3,"Sung Dong-il, Lee Kwang-soo, Jin Kyung",A love story between a psychiatrist named Ji Hae Soo and an author who had schizophrenia named Jang Jae Yeol.
Prison Playbook,2017–2018,16,imdb,8.3,"Park Hae-soo, Jung Kyung-ho, Krystal Jung","Baseball pitcher Kim Je-hyeok becomes a convict overnight after being sent to prison for defending his sister from a sexual assault, days before he was due to fly to the US to join the Boston Red Sox."
Reply 1988,2015–2016,20,imdb,9.0,"Lee Hyeri, Park Bo-gum, Ryu Jun-yeol","Five childhood friends, who all live in the same Ssangmundong neighborhood of Seoul in 1988, lean on each other to survive their challenging teen years and set a path for their futures."
Reply 1994,2013,21,imdb,7.7,"Go Ara, Jung Woo, Yoo Yeon-seok","In 1994, college students were crazy about basketball and Korea's hip-hop artists; with students from various countryside areas attending college in Seoul, they mingle together for true friendship, love and lots of fun at a boarding house."
My Mister,2018,16,imdb,9.0,"Lee Sun-kyun, IU, Lee Ji-ah","A man in his 40s withstands the weight of life. A woman in her 20s goes through different experiences, but also withstands the weight of her life. The man and woman get together to help each other."
When the Camellia Blooms,2019,32,imdb,7.8,"Kong Hyo-jin, Kang Ha-neul, Kim Ji-seok","A love story of the single-parent Dongbaek, the owner of Camellia Bar among a small neighborhood, who is also being the next murder target of a serial killer case."
The Master's Sun,2013,17,imdb,8.0,"Kong Hyo-jin, So Ji-seob, Seo In-guk","Tae Gong Sil has the ability to see ghosts, but their constant demands for help make her life impossible until she meets Joo Jong Won, a handsome CEO who measures everything by money, since when she touches him, the ghosts disappear."
Secret Love,2013,16,imdb,8.0,"Hwang Jeong-eum, Ji Sung, Bae Soo-bin","Yoo-jung is betrayed by her lover Do-hoon and falsely accused of a hit-and-run accident. Min-hyuk, an heir to a conglomerate, lost his lover Ji-hee in the car accident. Min-hyuk seeks revenge and falls in love with Yoo-jung."
Fight for My Way,2017,16,imdb,8.1,"Park Seo-joon, Kim Ji-won, Ahn Jae-hong","Ko Dong Man, a former taekwondo champion, and Choi Ae Ra, a receptionist, struggle to follow their dreams as life throws obstacles in their path."
Pinocchio,2014–2015,20,imdb,8.0,"Lee Jong-suk, Park Shin-hye, Jin Kyung","A young boy, whose life and family has been destroyed by new media, gets adopted by a family in a rural area after being found lost at sea. He conceals his past for 13 years. But then the girl he loves, a reporter, finds out the truth."
While You Were Sleeping,2017,32,imdb,8.3,"Bae Suzy, Lee Jong-suk, Jung Hae-in","The drama is about a woman, Nam Hong Joo, who can see accidents that take place in the future through her dreams. And a prosecutor, Jung Jae Chan, who struggles to stop the woman's dreams from coming true."
"That Winter, the Wind Blows",2013,16,imdb,7.5,"Lee Jae-woo, Zo In-sung, Song Hye-kyo",A man who was led to a life of a con artist who preys on rich women meets the sole heir to a fortune who is a blind woman.
Gu Family Book,2013,24,imdb,7.9,"Kim Hee-won, Jo Sung-ha, Lee Sung-jae","Human/were-fox half-breed Choi Kang Chi discovers the truth about his origins and searches for the mystical Gu Family Book, which holds the secret to becoming fully human."
A Korean Odyssey,2017–2018,20,imdb,7.9,"Lee Seung-gi, Cha Seung-won, Oh Yeon-Seo","In 2017, Son Oh Gong and Ma Wang are in conflict with each other and they look for a true light in a dark world where evils exists everywhere."
The Empress Ki,2013–2014,51,imdb,8.4,"Ha Ji-Won, Ju Jin-mo, Baek Jin-hee",A Korea-born warrior girl had to be a servant at the Mongol Yuan court but somehow overcame her low status to become an empress in another land.
Rooftop Prince,2012,20,imdb,7.7,"Park Yoo-chun, Han Ji-min, Lee Tae-sung","Crown Prince Lee Gak transports 300 years into the future following the death of his wife; in 21st century Seoul, he meets Joo Se-Na, a woman with an uncanny resemblance to the deceased princess."
The Slave Hunters,2010,24,imdb,8.6,"Oh Ji-ho, Jang Hyuk, Lee Da-hae","Dae-gil is the leader of a group of slave hunters that are hired to find a runaway slave named Tae-ha, who was once a great warrior."
Mischievous Kiss,2010,16,imdb,7.1,"Kaoru Tada, Jung So-min, Kim Hyun-joong, Lee Tae-sung","Fate brings polar opposite high school classmates (one obsessively attracted to the other, the other indifferent to all advances) to live under one roof. Is romance possible?"
Sungkyunkwan Scandal,2010,20,imdb,7.8,"Park Min-young, Park Yoo-chun, Yoo Ah-in","In the Joseon era, Kim Yoon-hee masquerades as a boy to earn a living as a book transcriber. Her family's dire circumstances and the encouragement of a noble's son finally drive her to attend Sungkyukwan University, forbidden for females."
Kingdom,2019–2020,12,imdb,8.3,"Ju Ji-hoon, Bae Doona, Kim Sungkyu","While strange rumors about their ill King grip a kingdom, the crown prince becomes their only hope against a mysterious plague overtaking the land."
Signal,2016,16,imdb,8.5,"Lee Je-hoon, Kim Hye-su, Cho Jin-woong",A cold-case profiler in 2015 and a detective in 1989 work together to solve a series of related murders spanning three decades using a special walkie-talkie to communicate with each other.
The Princess' Man,2011,24,imdb,8.1,"Moon Chae-won, Park Shi-hoo, Jong-ho Song","Featuring breathtaking cinematography and gorgeous locations, The Princess's Man is a lush historical romance that captivated audiences in 2011."
I Miss You,2012–2013,21,imdb,7.4,"Jang Mi In Ae, Han Jin-hee, Do Ji-Won","Two middle schoolers, Soo-yeon and Jung-woo, become friends and grow close. However, an unforeseen tragedy strikes, separating them from each other. 14 years later, they are reunited as adults, but the past still lingers on their minds."
SKY Castle,2018–2019,20,imdb,8.5,"Yum Jung-ah, Jeong Jun-ho, Lee Tae-ran",A satirical drama that closely looks at the materialistic desires of upper-class parents in South Korea and how they ruthlessly secure the successes of their families at the cost of destroying others' lives.
Nine: Nine Time Travels,2013,20,imdb,8.0,"Lee Jin-wook, Jo Yun-hie, Jeon No-min","A TV anchorman discovers that a mysterious bundle of incense has the power to send him back in time, where he has the opportunity to alter the past."
School 2013,2012–2013,16,imdb,7.7,"Lee Jong-suk, Kim Woo-bin, Park Se-young","Follows a cast of millennials in high school. Teachers Jang Na Ra and Daniel Choi attempt to reform a class of delinquents, facing drama when packing the whole spectrum of high school into one room."
Queen In-hyun's Man,2012,16,imdb,7.8,"Kim Jin-woo, Yoo In-na, Eom Hyo-Seob","Kim Boong Do is a scholar who travels 300 years into the future of modern Seoul and meets Choi Hee Jin, a no-name actress who is expecting a career renaissance through her role as Queen In Hyun in a TV drama."
